,SPY,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,META,NVDA,BRK-B,JPM,JNJ,UNH,HD,PG,V,BAC,MA,PFE,XOM,DIS,CSCO,AVGO,ADBE,CVX,PEP,TMO,KO,ABBV,CMCSA,NFLX,ABT,ACN,COST,CRM,INTC,WFC,VZ,PYPL,WMT,QCOM,MRK,LLY,MCD,T,NKE,DHR,LOW,LIN,TXN,NEE,AMD,UNP,PM,INTU,UPS,HON,MS,MDT,BMY,AMAT,ORCL,SCHW,CVS,RTX,C,GS,AMGN,BLK,BA,CAT,IBM,SBUX,AMT,PLD,GE,ISRG,COP,TGT,AXP,DE,MU,SPGI,MMM,NOW,BKNG,F,ADP,ZTS,LRCX,PNC,MDLZ,MO,ADI,GILD,LMT,SYK,GM,TFC,TJX
44606.00000000,-0.00326927,0.00142316,-0.00013552,0.01222168,0.01832566,0.00926033,0.00872287,-0.00842635,0.01327810,-0.01522848,-0.00929039,-0.01258116,-0.00780135,0.00362556,0.00287939,0.00289283,-0.01043393,0.01187231,-0.01929890,-0.01533464,0.00923266,-0.01335808,0.00899873,0.00008440,-0.01541656,-0.01115205,-0.00900608,0.00646871,0.00697128,-0.00461977,0.01344205,-0.02159528,-0.00926543,-0.00610208,-0.00721501,-0.00104968,-0.00788884,-0.00093773,-0.01014831,-0.01019729,0.00297630,-0.00221814,-0.00029821,-0.00693684,-0.00331555,0.01005855,-0.00425440,0.00017700,-0.00413938,-0.01173949,-0.00053368,0.00963064,0.01566096,0.01185620,-0.01261642,0.00234216,-0.00160442,-0.01912584,-0.00660263,-0.00104663,-0.00475503,-0.01003138,-0.01537434,-0.01189557,-0.01784407,-0.01027550,-0.00776736,-0.00879509,-0.01576723,-0.01064536,-0.00670835,-0.01914240,-0.00085352,-0.01101728,-0.00662984,-0.00237533,-0.00713374,-0.02106494,-0.01413316,0.00281537,-0.01377744,0.00111420,-0.01792816,-0.00959012,-0.00709236,0.00618571,-0.00512824,-0.00888166,-0.01226922,-0.00310724,-0.01345490,-0.00839580,-0.00555893,0.00051977,-0.01546648,-0.02327161,-0.00476849,-0.00880617,-0.00912233,-0.01033480
44607.00000000,0.01612677,0.02315237,0.01854226,0.00865835,0.05329076,0.00798743,0.00831858,0.01515849,0.09181199,0.00610925,0.01462383,0.01032594,0.00807345,0.00483572,0.00051046,0.01100561,0.00780259,0.01972421,-0.00020080,-0.01253485,0.02565459,0.02049631,0.04180907,0.01158201,-0.00731986,-0.00443893,-0.00805438,0.00379034,0.01230783,0.01371297,0.02746043,0.00977354,0.01005740,0.01452933,0.03803298,0.01807465,0.00916163,0.00168954,0.01174199,0.00313548,0.04765932,0.01752317,0.03898762,0.00165751,0.01205829,0.02817995,-0.00895021,0.00951537,0.02858492,0.02277341,0.00226910,0.06300871,0.02791186,0.00393624,-0.00240055,0.01528096,0.01521236,0.00838447,0.01563885,0.01436923,0.06051854,0.01038639,0.02165500,-0.00029123,0.00502299,0.00812516,0.01027092,-0.00147148,0.02746249,0.03661209,0.01760966,-0.00161350,0.00918308,-0.00384140,0.00192646,0.04472067,0.02906019,-0.02042593,-0.00235955,0.02926938,0.01585496,0.06832841,0.01224026,-0.00424013,0.02084260,0.03515788,0.03550972,0.01010000,0.00677072,0.06371703,0.01280741,-0.00408220,0.00459179,0.05234447,0.00360014,-0.01227490,0.03302062,0.02623964,0.02857135,0.01323725
44608.00000000,0.00112079,-0.00138889,-0.00116727,0.01015904,0.00104075,0.00826816,0.00778444,-0.02018103,0.00060377,-0.00173946,0.00180962,-0.00059762,0.00380572,-0.00897362,0.00758817,0.00438940,-0.00230168,0.00364304,-0.00220927,0.00461592,0.01053519,-0.00036847,-0.00922402,-0.00375389,0.00029806,0.00204872,-0.01135317,-0.00016411,0.00766782,0.00083251,-0.02302068,-0.00241980,0.01308396,-0.00295753,-0.01171526,-0.00433520,-0.00411102,0.00074966,-0.04261215,-0.00625136,-0.00231202,-0.00758257,0.00713584,-0.00283675,-0.01643382,0.00625088,-0.00512883,-0.00477865,0.00639285,0.01245712,0.00186455,-0.03111878,0.01800890,0.01732469,0.00070103,-0.00897539,-0.00247993,-0.02204394,-0.00731402,-0.00250857,0.00800927,-0.00727084,-0.00345822,0.00942022,0.00754997,-0.00074628,-0.01068866,-0.00571590,0.00285458,0.00551140,0.00113070,-0.00584895,0.00708923,-0.00454172,-0.00851523,0.00485535,0.00632545,0.00590978,0.00304081,0.00202056,-0.00721912,0.00062500,0.00306198,-0.01086817,-0.00130135,0.02584287,-0.00387173,0.00107843,-0.01350116,-0.00395749,0.00675707,-0.00242904,0.00576305,0.03887921,0.00929396,0.01224431,0.00336261,0.01530102,-0.00138886,-0.02598343
44609.00000000,-0.02136132,-0.02126912,-0.02928211,-0.02180890,-0.05094270,-0.03774561,-0.03766888,-0.04077763,-0.07559113,-0.00665296,-0.02303232,-0.00610027,-0.02022712,-0.00614126,0.01145517,-0.01839878,-0.03376691,-0.02410357,-0.01570055,-0.00153137,-0.02174614,0.02801846,-0.03049177,-0.04184639,-0.00513777,0.00270588,-0.01782506,0.02003279,-0.00616982,-0.02744854,-0.02866251,-0.02506459,-0.03239248,0.00509362,-0.05530371,-0.01368432,-0.03422765,0.00337077,-0.04830834,0.04006597,-0.03360379,-0.01113699,-0.01877191,-0.00853453,-0.00751888,-0.02518941,0.00590231,-0.01418433,-0.01599574,-0.02133865,0.00199376,-0.04520350,-0.01111065,0.00295778,-0.06053211,-0.02136444,-0.02364320,-0.04943150,-0.01405728,-0.00310633,-0.03185287,-0.04621791,-0.03705373,-0.01577827,-0.00411609,-0.03345773,-0.03052341,-0.00440129,-0.02670326,-0.02443699,-0.04370452,-0.03259007,-0.02237870,-0.01575343,-0.00761889,-0.02908993,-0.02424960,0.01053104,-0.01833399,-0.01345909,-0.02568116,-0.02425563,-0.01309008,-0.03568196,-0.04254601,-0.02933867,-0.02609654,-0.01850766,-0.01035420,-0.01836112,-0.03494896,0.00532645,0.01501688,-0.04698822,-0.00985464,0.00483319,-0.03085627,-0.03192536,-0.03337964,-0.02876301
44610.00000000,-0.00647508,-0.00935581,-0.00963097,-0.01326196,-0.02210304,-0.01611602,-0.01391448,-0.00746234,-0.03529611,0.00398661,0.00468879,-0.01071868,-0.00537910,-0.00307531,0.00050033,-0.00854808,-0.00238761,-0.01003484,-0.00756642,-0.01112110,-0.01039553,0.02582036,0.00170976,-0.03309955,-0.00142216,0.00575711,-0.00628992,0.00676113,-0.00648412,-0.00277964,0.01194816,-0.03143141,-0.00535751,-0.00454364,-0.01594762,-0.05318484,-0.00926095,0.00466592,-0.01473380,-0.00640837,0.00503592,0.00013097,-0.00273895,-0.00131510,0.00462963,0.00105021,-0.00869020,-0.00491535,0.01301143,0.01269368,-0.01631718,0.01299278,0.00079689,-0.00259163,-0.03019058,0.00081254,-0.01332681,-0.00759243,-0.01101277,0.00237412,-0.02286230,-0.01271020,-0.00476631,-0.00166188,-0.01049163,-0.00880859,-0.00865184,-0.00410499,-0.00849843,-0.02130351,-0.01432688,-0.00496128,0.00311655,-0.00100576,-0.00509485,-0.05860255,-0.01161640,-0.01678383,0.00191170,-0.00424095,-0.03003702,-0.03126006,-0.00739198,-0.00686205,-0.01721607,-0.00287355,0.02850627,-0.00005000,-0.00906390,-0.01829108,-0.00064577,-0.00090835,0.00720262,-0.00043630,-0.00391588,-0.00594179,-0.01367365,-0.00450646,-0.00367711,0.01503753
44614.00000000,-0.01073163,-0.01781219,-0.00072929,-0.01575350,-0.04136624,-0.00452055,-0.00816297,-0.01979046,-0.01065910,-0.00203299,-0.00177462,-0.01358969,-0.01132930,-0.08850563,-0.01232012,-0.00615214,-0.00870317,-0.00448699,-0.02060585,-0.01163397,-0.02160415,-0.01590639,-0.00436194,-0.00939986,-0.00764504,0.00381620,-0.01349740,-0.00415734,0.01062276,0.00643237,-0.03554909,0.00616485,-0.00021799,-0.02046144,-0.00868722,-0.00777090,-0.00629163,0.00130040,-0.00463100,-0.01116040,-0.01043897,-0.00549957,-0.00491031,0.00837984,-0.00502721,-0.03329832,-0.00280974,-0.03637345,-0.03060828,-0.00029995,-0.00498991,0.01598875,-0.01958683,-0.02705844,0.00426013,-0.00186282,0.00236092,-0.00702145,0.03121896,-0.00148049,-0.02141083,-0.00603466,-0.01214807,-0.00205614,0.00182061,-0.00389764,-0.00511506,0.00289892,-0.01394160,-0.04922735,-0.00385503,-0.00345790,-0.00246399,-0.00030648,-0.00126264,0.01575135,0.01146806,-0.02008242,-0.03933653,-0.01252061,-0.04150628,-0.00253302,0.00417244,-0.00589363,-0.01053935,-0.03752850,-0.04157433,-0.00274387,-0.00637694,-0.01801792,0.00949432,0.00712127,-0.00889064,0.00324285,-0.00114652,-0.00067264,0.00834211,-0.03765427,-0.00224649,-0.01360534
44615.00000000,-0.01773867,-0.02586427,-0.02589329,-0.03575625,-0.06997918,-0.01714390,-0.01404530,-0.01796321,-0.04288145,-0.01327353,-0.02093910,0.00049642,-0.00624858,-0.02441736,-0.01247380,-0.02426340,-0.01712031,-0.01916974,-0.01388589,0.00405429,-0.01499089,-0.03303728,-0.02124837,-0.02041511,0.02379158,-0.00986041,-0.00247213,-0.01107895,0.00824387,-0.03855992,-0.02628654,-0.00221258,-0.02475786,-0.01377993,-0.02352284,-0.00089488,-0.02405927,-0.00909100,-0.02374718,-0.01026023,-0.02574000,-0.00144833,-0.00342908,-0.01943004,-0.01010522,-0.00984135,-0.01423834,0.00233005,-0.00851526,-0.00629911,-0.01978863,-0.05092952,-0.00588783,0.00000000,-0.03362643,-0.02148642,-0.01971961,-0.01266495,-0.00665261,0.00711650,-0.01842476,-0.02226120,-0.02388560,0.00313966,-0.01389783,-0.01048685,-0.00894645,-0.00185174,-0.01742492,-0.01167358,-0.02374368,-0.01492897,-0.03716041,-0.00402861,-0.01130866,-0.01593192,-0.02640845,0.00455431,-0.03284957,-0.01813545,-0.04596083,-0.03599424,-0.01809340,-0.01614993,-0.04626013,-0.01921591,-0.01966452,-0.01805898,-0.01599162,-0.03096177,-0.02004126,-0.00285843,0.01306562,-0.02728741,0.00606753,0.00699113,0.01362846,-0.00833860,-0.02541008,-0.04214558
44616.00000000,0.01504910,0.01668034,0.05109359,0.04509522,0.04807346,0.03999590,0.03988316,0.04610738,0.06079416,-0.00551628,-0.02784308,-0.01910435,-0.00811532,0.01552918,-0.02693020,0.00625143,-0.02635111,0.02256187,-0.01941546,-0.01263491,0.02419962,0.00532705,0.02620365,0.08003259,-0.00516414,-0.01739775,0.02192657,-0.01753537,-0.01015243,0.01949917,0.06142167,0.01253736,0.00961179,0.02083749,0.07216333,0.04636051,-0.02298421,-0.01535285,0.04269257,-0.00385039,0.03935162,-0.03072244,0.02001593,-0.01113852,-0.01190992,0.00248468,0.03494795,-0.00781061,-0.02006257,0.02384692,0.04314163,0.06240888,-0.01115108,-0.05341189,0.06451822,0.01325318,0.02449708,-0.01859977,0.00291189,-0.01221859,0.04348500,0.03228921,-0.00339190,-0.01437792,0.02747195,-0.04033535,-0.00293095,-0.00782804,-0.00095554,0.01023315,-0.01060690,-0.00081921,0.01517010,0.01890528,0.01825810,-0.00118727,0.04296566,-0.00566706,0.00868881,-0.00317543,0.01552503,0.01740925,0.02225676,-0.00470979,0.09386316,-0.07078628,0.01179929,0.02002144,0.02079560,0.03777733,-0.01708453,-0.02459260,-0.04581338,0.02607062,-0.01206187,0.01751098,0.01608721,-0.00064691,-0.02293735,0.03503996
44617.00000000,0.02206404,0.01296534,0.00923316,0.01605793,0.01136403,0.01332803,0.01391392,0.01387278,0.01722258,0.03555207,0.02365953,0.04970284,0.04356303,0.01088625,0.04269917,0.00906579,0.03256896,-0.00078523,0.03829420,0.02691277,0.00087018,0.02393563,0.01381028,0.00370834,0.04100866,0.02802390,0.01788332,0.03867128,0.02939341,0.02303849,0.00197418,0.03108154,0.02005257,0.02355717,0.01860102,0.02118999,0.02656040,0.02909286,0.05637027,0.01375167,0.01756147,0.03822604,0.03196479,0.01803857,0.02927244,0.01188316,0.02831783,0.02703703,0.04290967,0.00725293,0.02279954,0.03816137,0.02283008,0.02383491,-0.02001494,0.01332109,0.03411211,0.02984437,0.02429107,0.02533543,0.01723888,0.02058544,0.04229984,0.03503036,0.04106107,0.02159229,0.02918964,0.03539009,0.02607293,0.01537068,0.01283226,0.01811920,0.01725096,0.00824168,0.03572168,0.04138746,0.01778905,0.04035094,0.04004179,0.02845768,0.01231190,0.01429695,-0.00206973,0.04739050,0.01094166,-0.00589980,0.03965016,0.02067726,0.01969109,0.01833415,0.03609216,0.03263741,0.03853141,0.01458166,0.00841438,0.03482336,0.03139298,0.02330099,0.06350288,0.03230805
44620.00000000,-0.00255852,0.00163774,0.00497799,-0.00146626,0.07477747,0.00444374,0.00276172,0.00261309,0.00943829,0.00692276,-0.04169753,-0.00861442,0.00025221,-0.00258968,-0.01485095,-0.01436587,-0.01821414,-0.02240635,-0.01634542,0.00745122,-0.00715570,-0.00481798,-0.00096928,0.00459678,0.02578705,-0.02755669,-0.01060338,-0.00970560,-0.01183618,-0.00658583,0.00951894,-0.01462299,-0.02012358,0.00340094,0.01172571,-0.00020952,-0.01367598,-0.00831477,0.00892372,-0.00894564,0.00620148,0.00340678,-0.00358780,-0.01330270,-0.00920095,-0.01621042,-0.01733211,0.00857755,-0.01428614,-0.00485904,0.02000396,0.01883363,-0.00186679,-0.03962365,-0.02629422,0.00223872,0.00631098,-0.04029615,-0.00803106,-0.00188953,-0.01119947,-0.00497706,-0.01504378,-0.00623208,0.04667738,-0.04436920,-0.02521993,-0.00242260,-0.00929578,0.01915823,0.00277987,-0.01344826,-0.00853324,-0.02905946,-0.01751418,-0.00892395,-0.01083446,0.03933402,0.00276078,0.00428474,0.03758120,-0.01376255,-0.01362600,-0.01235798,-0.00053427,-0.04786845,-0.01514283,0.00039139,-0.00544415,-0.02067347,-0.01687461,-0.01917334,-0.00369067,-0.01128796,-0.01178004,0.06666017,-0.00918018,-0.01496941,-0.01191049,-0.01018290
