Date,SPY,AAPL,MSFT,AMZN,NVDA,GOOGL,TSLA,GOOG,BRK-B,META,UNH,XOM,LLY,JPM,JNJ,V,PG,MA,AVGO,HD,CVX,MRK,ABBV,COST,PEP,ADBE,WMT,KO,CSCO,CRM,MCD,ACN,BAC,TMO,CMCSA,PFE,LIN,ORCL,ABT,NFLX,DHR,AMD,WFC,DIS,PM,TXN,INTC,AMGN,COP,INTU,VZ,CAT,NEE,IBM,UNP,HON,BMY,LOW,GE,SPGI,QCOM,AMAT,BA,UPS,NKE,NOW,T,GS,BKNG,MS,MDT,SBUX,ELV,PLD,RTX,DE,TJX,ISRG,ADP,MMC,MDLZ,SYK,BLK,GILD,LMT,CVS,VRTX,AXP,REGN,CB,ADI,CI,ETN,SLB,PGR,SCHW,LRCX,ZTS,C,BSX,AMT
2022-09-01,388.679565,157.028442,257.908386,127.82,139.243423,109.739998,277.160004,110.550003,282.429993,165.360001,514.782043,90.869415,305.823151,111.022614,160.718201,198.532242,136.076614,323.224701,475.288971,285.616119,150.067688,84.151299,133.052216,525.208618,168.258118,370.529999,132.452271,59.72031,43.85305,153.529999,250.881897,284.188782,32.528236,549.068054,35.76408,44.823338,275.222229,74.063881,102.867424,230.039993,272.726868,82.330002,42.478008,112.529999,91.456078,161.295334,30.722734,237.505814,102.244453,422.356781,39.121292,178.509399,84.146568,123.454094,220.378265,186.792847,66.880089,191.834457,56.828735,348.524841,126.532211,90.940865,153.660004,189.532074,104.861038,430.559998,16.420057,323.785828,1852.51001,83.163422,84.913338,83.624107,482.966797,120.089752,85.906723,359.330566,62.830742,206.110001,239.749176,160.261536,60.550076,204.279358,641.285278,61.883221,411.819214,97.048927,290.200012,148.950897,600.630005,188.100296,147.912262,282.124664,136.138718,36.036259,123.325203,70.653595,424.766022,158.011505,46.662727,40.990002,249.972107
2022-09-02,384.581177,154.891113,253.609909,127.510002,136.346054,107.849998,270.209991,108.68,277.670013,160.320007,507.266602,92.534424,298.106567,110.246986,158.190903,196.181152,133.659927,320.551453,483.21994,284.184998,152.296417,83.262939,130.966812,515.223877,166.126312,368.140015,130.994583,58.901566,43.175259,153.690002,248.964615,279.543976,32.489361,541.890015,34.659168,43.929367,273.812286,73.454056,100.571449,226.110001,268.305267,80.239998,42.166962,111.199997,89.607613,158.227844,30.200369,234.477722,104.840263,416.95694,38.644089,176.934067,83.02475,121.673599,218.311554,183.032104,66.415443,191.589462,56.32328,344.227356,125.129753,90.376266,151.820007,188.992233,104.4216,434.51001,16.129187,321.824677,1837.910034,83.385391,83.637665,81.215263,474.906952,117.761368,85.477325,357.79953,62.515797,203.669998,232.458054,157.994217,59.338486,201.393295,634.736023,60.80658,407.882385,96.573059,281.040009,147.64975,580.619995,186.866806,145.890228,281.791626,134.696564,37.229321,122.039116,69.294113,422.966797,155.602798,46.748875,40.490002,243.384186
2022-09-06,383.130066,153.618668,250.826813,126.110001,134.52771,106.809998,274.420013,107.480003,276.589996,158.539993,508.573212,91.914886,303.537872,110.27607,158.618576,197.054138,132.168945,322.061981,481.268616,281.88736,151.592117,83.446396,132.225739,515.015564,165.006836,368.299988,130.344543,58.930462,43.059071,151.720001,248.847229,278.943695,32.129772,543.485229,33.670574,43.987045,273.053101,72.618011,100.777496,218.389999,271.3526,78.720001,41.680943,110.089996,89.200012,158.324936,29.368456,234.332626,103.29039,415.666565,38.456947,176.767746,85.229378,120.654816,222.25,181.768738,66.454163,189.090622,56.113323,353.297668,123.366951,89.435257,152.389999,188.905472,103.838959,430.470001,15.753873,316.980011,1814.849976,82.159706,82.678513,82.762405,469.990295,119.606682,85.057709,356.653687,61.895756,202.300003,232.126648,159.275742,58.625214,200.375259,642.947327,60.396881,407.112549,95.88353,279.179993,146.476776,573.969971,186.426239,145.497589,280.483856,135.834595,36.703716,122.108894,69.42218,419.574921,155.464035,46.155418,40.380001,246.615067
2022-09-07,390.013,155.040237,255.620483,129.479996,137.056152,109.449997,283.700012,110.480003,281.040009,160.389999,512.502808,91.130783,308.266754,112.370293,159.483704,198.819916,134.166641,326.5737,487.963043,289.607758,149.652817,83.880913,133.302094,525.675171,168.647491,379.720001,133.693268,60.018913,43.591621,153.279999,252.789413,282.191101,32.625416,550.035034,33.903179,44.342709,281.818298,73.267174,102.730057,228.960007,276.32193,79.610001,42.614094,112.690002,89.683449,160.965302,29.648985,236.818909,101.512314,432.074463,38.43824,176.96344,88.02906,121.597435,223.039627,185.186691,66.560646,197.263367,57.217548,359.97171,125.246635,91.069649,155.949997,189.223572,107.127434,444.160004,15.828935,320.931458,1872.449951,83.829353,83.551338,86.473587,477.892395,122.34082,85.340706,361.474121,64.799118,210.869995,235.616257,163.209076,60.01268,208.75679,655.181824,61.730782,409.412292,97.777298,284.440002,150.0746,596.440002,189.607895,147.922073,285.15448,138.591293,36.408989,126.814598,70.722557,424.726715,158.992813,46.547867,41.470001,251.776749
2022-09-08,392.562256,153.549088,256.046387,129.820007,139.814484,108.379997,289.26001,109.419998,283.339996,162.059998,518.230286,91.876167,312.125,114.988052,160.766815,199.10759,134.342041,328.014679,494.531952,291.973541,150.463272,84.411995,135.041519,525.159119,168.082901,383.630005,134.372849,59.835896,43.930511,156.899994,254.413254,283.371979,33.675034,564.829773,33.311958,45.255905,279.925262,73.424545,104.976974,227.440002,286.907928,82.779999,43.965221,112.330002,90.640862,163.479477,29.74572,237.457428,102.995621,435.796722,38.662804,179.204117,88.058319,122.32106,224.55069,183.942932,67.160812,200.281616,57.365299,363.467133,125.49012,92.90213,157.789993,189.069351,107.374313,450.769989,15.735106,325.611053,1906.02002,85.354218,84.299477,87.59967,483.434631,123.577477,84.472168,363.983124,65.419159,214.779999,236.849731,163.908997,59.553448,217.72142,672.382019,62.026142,408.934784,99.311752,288.98999,151.326477,708.849976,191.007858,149.325699,285.852631,140.523956,37.499485,128.828476,72.072182,431.766174,157.099579,47.763493,42.709999,253.882172
2022-09-09,398.660797,156.44191,261.929535,133.270004,143.782059,110.650002,299.679993,111.779999,285.769989,169.149994,516.732361,93.415337,314.301514,115.540695,161.077866,203.561752,136.388474,333.758698,504.646118,291.846954,154.341827,84.334747,135.906418,532.563232,168.618286,394.779999,134.776703,60.028542,44.317822,162.589996,253.865448,285.920746,33.956871,567.661133,34.339329,45.986458,283.001465,74.663872,106.438942,233.570007,289.218353,85.449997,44.062435,115.18,92.005867,165.741257,30.432531,239.624496,106.466209,446.705536,39.523643,185.407516,87.697395,123.006592,226.051987,187.733017,67.915863,201.526138,57.575256,365.804108,128.606674,95.59639,157.520004,191.53717,109.586388,470.029999,15.979062,330.193604,1981.030029,86.338631,86.064308,86.845688,487.63324,125.23922,85.916481,367.707123,65.566795,221.320007,239.16008,164.392029,59.924744,227.328522,675.822144,62.197643,410.766785,99.204926,292.109985,156.176178,724.320007,190.900162,151.337906,287.946991,142.947113,38.953491,128.290115,73.431671,443.190521,162.8685,48.500519,42.939999,253.804535
2022-09-12,402.945465,162.466187,264.098572,136.449997,144.961334,110.860001,304.420013,111.870003,288.51001,168.960007,523.542114,94.489861,311.848022,116.907761,161.009811,204.980331,137.49939,336.312683,511.079803,289.675934,156.782822,85.126534,136.694458,535.481262,169.280212,396.359985,135.988144,60.201923,44.927834,165.630005,254.696915,290.555695,34.277584,577.421204,34.59132,45.909554,290.376495,75.814651,107.233704,236.529999,292.295593,84.639999,44.256836,116.389999,92.574646,165.585922,30.529266,229.882416,108.767258,452.006073,40.010197,188.254791,88.585091,124.406242,228.274689,188.06601,70.045494,202.261093,58.570614,367.863708,129.531891,95.388367,158.720001,192.963913,110.978798,476.290009,16.307461,332.601349,2013.319946,87.004555,88.299126,87.217781,487.692505,125.789894,85.682274,369.465393,65.921104,222.020004,238.817444,165.013092,60.481678,229.137268,677.134033,64.798752,407.950623,100.069267,293.480011,160.12886,710.73999,192.838531,152.780807,289.235107,144.811081,39.444706,128.708847,73.806015,439.769135,164.890625,48.691956,43.459999,257.200378
2022-09-13,385.424377,152.932739,249.578873,126.82,131.229721,104.32,292.130005,105.309998,278.290009,153.130005,506.502991,92.282738,303.201538,112.84536,156.820297,198.075897,134.65387,323.413513,486.533325,270.584167,153.801529,83.311211,133.129089,506.479919,162.962631,368.390015,133.181122,58.246567,42.710491,158.100006,248.788528,277.034607,33.04332,558.110291,32.42997,44.400383,281.571777,74.791733,103.848602,218.130005,280.614105,77.029999,42.011433,111.760002,89.124176,157.888092,28.333405,219.472778,106.808525,426.138611,39.065155,180.339096,86.682869,121.159447,220.602463,181.16153,68.767708,189.747177,55.086861,353.020386,121.672333,89.534317,147.309998,185.772476,104.401833,452.380005,15.791401,318.824646,1920.800049,84.012718,86.630203,86.013359,474.750854,120.84333,81.700676,358.866302,63.539356,211.399994,230.114487,158.211075,58.507965,223.226715,626.699463,62.026142,398.878326,97.553925,280.670013,153.130325,701.390015,189.138016,145.517227,282.027588,139.80777,37.79422,126.326088,71.865303,415.001099,159.577637,46.902023,42.18,247.051682
2022-09-14,386.895111,154.394089,249.806671,128.550003,131.199753,105.0,302.609985,105.870003,278.420013,151.470001,502.373718,94.547935,306.298035,112.583595,160.05722,197.817993,134.975464,323.820953,493.392059,269.036255,157.525726,84.635002,134.109329,504.197113,164.198898,371.519989,132.885635,58.554798,42.56525,160.279999,250.148239,274.092255,32.916977,556.723877,33.408882,44.361935,282.547913,70.936081,103.789726,224.119995,280.564301,77.449997,42.069752,112.5,88.820839,160.421692,28.226995,220.691742,111.924065,433.612946,38.625374,180.671768,86.702377,121.5784,212.472092,176.254974,68.215958,188.532059,54.456985,347.722778,124.204536,89.781952,149.259995,184.085449,105.665878,457.48999,15.735106,317.7276,1967.380005,84.138176,86.917946,90.772293,464.427155,117.722336,84.31604,356.495605,63.342518,210.779999,229.546677,156.554916,58.859715,223.56279,625.407043,62.806648,405.991913,98.136642,284.859985,154.066757,697.619995,189.196762,147.480347,279.333405,140.386612,39.533123,127.652046,71.668274,416.264435,158.824295,46.35643,42.07,244.325317
2022-09-15,382.502594,151.471405,243.032135,126.279999,129.210968,102.910004,303.75,103.900002,276.700012,149.550003,515.323059,91.798721,306.159546,114.280296,160.465469,193.810226,133.932755,314.986328,483.142639,264.363098,154.968964,84.440338,136.953903,499.730835,161.473282,309.130005,131.457504,57.759193,41.916512,154.779999,247.947266,269.496643,33.538963,550.589355,32.953346,44.160069,278.929443,69.086945,103.083282,235.380005,280.743591,76.660004,42.905704,110.769997,89.143135,157.907516,27.8981,220.246735,109.879745,419.001678,38.391449,178.558334,83.902695,119.483688,212.87178,173.209152,69.484039,187.209106,53.586048,343.662933,121.721031,88.078232,149.779999,178.340012,104.184586,435.549988,15.725722,321.960571,1956.77002,85.180496,86.917946,90.302284,479.463196,112.997108,83.54509,354.391571,63.854294,209.619995,225.856003,154.662201,58.205067,224.086624,614.484497,62.633202,403.029541,99.360306,287.670013,153.89917,705.849976,188.93129,145.144226,285.115143,138.434326,38.933842,126.704933,71.500809,408.052826,157.783508,46.366001,42.200001,237.76651
